Approach,Prediction Horizon,Patient,Day,Hour,RMSE
pixtral-large-latest,6,001,4,0,10.805755853009693
pixtral-large-latest,6,001,4,1,6.356461325088615
pixtral-large-latest,6,001,4,2,5.2923641383183435
pixtral-large-latest,6,001,4,3,7.803192596730375
pixtral-large-latest,6,001,4,4,9.824087122762489
pixtral-large-latest,6,001,4,5,5.7566958183218535
pixtral-large-latest,6,001,4,6,22.050822360232146
pixtral-large-latest,6,001,4,7,25.11992318102721
pixtral-large-latest,6,001,4,8,19.632322547633756
pixtral-large-latest,6,001,4,9,18.18786350954163
pixtral-large-latest,6,001,4,10,37.38906819498894
pixtral-large-latest,6,001,4,11,7.677511707401494
pixtral-large-latest,6,001,4,12,22.08884372021311
pixtral-large-latest,6,001,4,13,13.300919304677604
pixtral-large-latest,6,001,4,14,10.028052657251
pixtral-large-latest,6,001,4,15,11.735102904052248
pixtral-large-latest,6,001,4,16,12.334368479541812
pixtral-large-latest,6,001,4,17,6.787634715184894
pixtral-large-latest,6,001,4,18,34.335003139707695
pixtral-large-latest,6,001,4,19,57.527527161590726
pixtral-large-latest,6,001,4,20,16.475582095981256
pixtral-large-latest,6,001,4,21,14.233633847532472
pixtral-large-latest,6,001,4,22,30.053670349321017
pixtral-large-latest,6,001,4,23,15.70768987752251
pixtral-large-latest,6,001,5,0,5.596700190797706
pixtral-large-latest,6,001,5,1,4.490823828275357
pixtral-large-latest,6,001,5,2,3.7104585362019886
pixtral-large-latest,6,001,5,3,5.053391729157094
pixtral-large-latest,6,001,5,4,3.8455564439832104
pixtral-large-latest,6,001,5,5,3.3576026195458146
pixtral-large-latest,6,001,5,6,31.821127299215267
pixtral-large-latest,6,001,5,7,21.483753759089247
pixtral-large-latest,6,001,5,8,28.819288639564544
pixtral-large-latest,6,001,5,9,20.88257140406742
pixtral-large-latest,6,001,5,10,15.570092081677704
pixtral-large-latest,6,001,5,11,4.356201244369881
pixtral-large-latest,6,001,5,12,9.04817738488572
pixtral-large-latest,6,001,5,13,18.117726176847032
pixtral-large-latest,6,001,5,14,17.622434409730076
pixtral-large-latest,6,001,5,15,14.314745848637607
pixtral-large-latest,6,001,5,16,8.565653339729392
pixtral-large-latest,6,001,5,17,11.375690449334472
pixtral-large-latest,6,001,5,18,42.78144826823742
pixtral-large-latest,6,001,5,19,20.168079865206312
pixtral-large-latest,6,001,5,20,15.986793123266851
pixtral-large-latest,6,001,5,21,18.73839800963495
pixtral-large-latest,6,001,5,22,16.96667315239161
pixtral-large-latest,6,001,5,23,6.880521828516166
pixtral-large-latest,6,001,6,0,9.41844579358397
pixtral-large-latest,6,001,6,1,5.296584475903487
pixtral-large-latest,6,001,6,2,4.64994885575419
pixtral-large-latest,6,001,6,3,4.6013081995694485
pixtral-large-latest,6,001,6,4,7.3594685185265005
pixtral-large-latest,6,001,6,5,7.39172830332023
pixtral-large-latest,6,001,6,6,37.92069944398138
pixtral-large-latest,6,001,6,7,37.86541050911742
pixtral-large-latest,6,001,6,8,13.049289385590074
pixtral-large-latest,6,001,6,9,13.952570713487328
pixtral-large-latest,6,001,6,10,8.29739312346572
pixtral-large-latest,6,001,6,11,10.728535605236072
pixtral-large-latest,6,001,6,12,25.810518073156878
pixtral-large-latest,6,001,6,13,22.643473200716542
pixtral-large-latest,6,001,6,14,15.513809681715193
pixtral-large-latest,6,001,6,15,10.66418086379484
pixtral-large-latest,6,001,6,16,17.021873182889355
pixtral-large-latest,6,002,4,0,14.394881545120523
pixtral-large-latest,6,002,4,1,16.122406002404112
pixtral-large-latest,6,002,4,2,8.04377266241891
pixtral-large-latest,6,002,4,3,8.814069833295568
pixtral-large-latest,6,002,4,4,5.976047678150394
pixtral-large-latest,6,002,4,5,5.682198196555033
pixtral-large-latest,6,002,4,6,5.831626563701715
pixtral-large-latest,6,002,4,7,52.17121649860248
pixtral-large-latest,6,002,4,8,29.155020031911917
pixtral-large-latest,6,002,4,9,18.82250432805971
pixtral-large-latest,6,002,4,10,61.261382029721574
pixtral-large-latest,6,002,4,11,11.20191265544461
pixtral-large-latest,6,002,4,12,38.87402186729639
pixtral-large-latest,6,002,4,13,23.641993780187153
pixtral-large-latest,6,002,4,14,14.307354626319947
pixtral-large-latest,6,002,4,15,9.397508662188063
pixtral-large-latest,6,002,4,16,10.970100758235448
pixtral-large-latest,6,002,4,17,25.005019821115578
pixtral-large-latest,6,002,4,18,15.426892365788104
pixtral-large-latest,6,002,4,19,23.293649303557025
pixtral-large-latest,6,002,4,20,11.201463870589903
pixtral-large-latest,6,002,4,21,34.93813386027381
pixtral-large-latest,6,002,4,22,31.02968288874869
pixtral-large-latest,6,002,4,23,7.699715237716109
pixtral-large-latest,6,002,5,0,17.603317451421827
pixtral-large-latest,6,002,5,1,8.657498088552833
pixtral-large-latest,6,002,5,2,6.042057553393131
pixtral-large-latest,6,002,5,3,6.832358512814125
pixtral-large-latest,6,002,5,4,3.8859236038738674
pixtral-large-latest,6,002,5,5,11.298050585207102
pixtral-large-latest,6,002,5,6,24.307096404453986
pixtral-large-latest,6,002,5,7,44.0224636231254
pixtral-large-latest,6,002,5,8,15.101566924672007
pixtral-large-latest,6,002,5,9,16.473614320228137
pixtral-large-latest,6,002,5,10,21.977251961201976
pixtral-large-latest,6,004,4,0,18.47483152634191
pixtral-large-latest,6,004,4,1,28.004775953097866
pixtral-large-latest,6,004,4,2,21.40486399839445
pixtral-large-latest,6,004,4,3,16.85144868163646
pixtral-large-latest,6,004,4,4,20.568134885661863
pixtral-large-latest,6,004,4,5,32.6734045254268
pixtral-large-latest,6,004,4,6,57.29095690783521
pixtral-large-latest,6,004,4,7,73.4782987551561
pixtral-large-latest,6,004,4,8,16.954938606492004
pixtral-large-latest,6,004,4,9,15.40041204030208
pixtral-large-latest,6,004,4,10,34.53569574672652
pixtral-large-latest,6,004,4,11,31.001866804209964
pixtral-large-latest,6,004,4,12,61.92791481698628
pixtral-large-latest,6,004,4,13,65.09805367659229
pixtral-large-latest,6,004,4,14,13.422832180294444
pixtral-large-latest,6,004,4,15,23.817283128168405
pixtral-large-latest,6,004,4,16,36.19607805116291
pixtral-large-latest,6,006,4,0,6.280874742079062
pixtral-large-latest,6,006,4,1,5.0553724574538474
pixtral-large-latest,6,006,4,2,4.995353661998993
pixtral-large-latest,6,006,4,3,7.629551424302352
pixtral-large-latest,6,006,4,4,4.630828540838065
pixtral-large-latest,6,006,4,5,6.219792603019235
pixtral-large-latest,6,006,4,6,12.828711990683136
pixtral-large-latest,6,006,4,7,4.918539588661381
pixtral-large-latest,6,006,4,8,8.247978879860348
pixtral-large-latest,6,006,4,9,8.32546341841009
pixtral-large-latest,6,006,4,10,18.168920852266787
pixtral-large-latest,6,006,4,11,11.358145665469742
pixtral-large-latest,6,006,4,12,9.480602052505482
pixtral-large-latest,6,006,4,13,30.943446030402633
pixtral-large-latest,6,006,4,14,12.730965427084032
pixtral-large-latest,6,006,4,15,17.007720272484015
pixtral-large-latest,6,006,4,16,28.351162259501244
pixtral-large-latest,6,006,4,17,6.080597339091303
pixtral-large-latest,6,006,4,18,2.482010943701947
pixtral-large-latest,6,006,4,19,7.578561474057627
pixtral-large-latest,6,006,4,20,9.816360081079832
pixtral-large-latest,6,006,4,21,25.008924542561967
pixtral-large-latest,6,006,4,22,23.707559989104784
