Approach,Prediction Horizon,Patient,Day,Hour,RMSE
dietitian,6,006,5,9,8.660658421490565
dietitian,6,006,5,10,9.15135339672222
dietitian,6,006,5,11,6.339620237959693
dietitian,6,006,5,12,28.571507288202444
dietitian,6,006,5,13,10.254357453077425
dietitian,6,006,5,14,9.992766216427164
dietitian,6,006,5,15,15.052023987693703
dietitian,6,006,5,16,15.412121791749035
dietitian,6,006,5,17,11.903413963247566
dietitian,6,006,5,18,5.226939903784775
dietitian,6,006,5,19,7.102246727691092
dietitian,6,006,5,20,25.266724194121576
dietitian,6,006,5,21,11.823605709195062
dietitian,6,006,5,22,7.077131034555849
dietitian,6,006,5,23,9.524323467508394
dietitian,6,006,6,0,8.61972069404632
dietitian,6,006,6,1,8.91388632739515
dietitian,6,006,6,2,9.686765676821372
dietitian,6,006,6,3,6.386367136001356
dietitian,6,006,6,4,4.785514779560287
dietitian,6,006,6,5,10.128164584669037
dietitian,6,006,6,6,4.566783186105139
dietitian,6,006,6,7,5.056083321540395
dietitian,6,007,4,0,23.30116224923511
dietitian,6,007,4,1,25.43739007197719
dietitian,6,007,4,2,10.582935260118155
dietitian,6,007,4,3,5.223064292247395
dietitian,6,007,4,4,4.28751430374521
dietitian,6,007,4,5,6.934481903504127
dietitian,6,007,4,6,4.877126958213899
dietitian,6,007,4,7,3.905688508849417
dietitian,6,007,4,8,11.782724628850994
dietitian,6,007,4,9,20.15810858115402
dietitian,6,007,4,10,24.088910928459356
dietitian,6,007,4,11,6.383706004762408
dietitian,6,007,4,12,17.926023858378375
dietitian,6,007,4,13,20.104078302427034
dietitian,6,007,4,14,8.90563297468654
dietitian,6,007,4,15,17.37059043028081
dietitian,6,007,4,16,7.383611270535398
dietitian,6,007,4,17,7.741162956442098
dietitian,6,007,4,18,6.340711977515037
dietitian,6,007,4,19,7.332843518451787
dietitian,6,007,4,20,4.8636228083668085
dietitian,6,007,4,21,18.195052323387877
dietitian,6,007,4,22,8.898707341735447
dietitian,6,007,4,23,9.571785516938483
dietitian,6,007,5,0,8.88484498946501
dietitian,6,007,5,1,7.7638738765905
dietitian,6,007,5,2,7.312312153200796
dietitian,6,007,5,3,3.1438756109061563
dietitian,6,008,3,0,19.60827766339869
dietitian,6,008,3,1,18.64040812769617
dietitian,6,008,3,2,17.717135028912757
dietitian,6,008,3,3,43.530723779742814
dietitian,6,008,3,4,9.466155805629676
dietitian,6,008,3,5,10.51622992135012
dietitian,6,008,3,6,15.164565848734991
dietitian,6,008,3,7,19.843075146586553
dietitian,6,008,3,8,12.191596103187138
dietitian,6,008,3,9,8.434183274520427
dietitian,6,008,3,10,7.773036807328065
dietitian,6,008,3,11,44.59435278306416
dietitian,6,008,3,12,27.18246772790852
dietitian,6,008,3,13,10.693796626058797
dietitian,6,008,3,14,14.644612768960252
dietitian,6,008,3,15,19.397994219346657
dietitian,6,008,3,16,35.287441333525294
dietitian,6,008,3,17,25.942262664234853
dietitian,6,008,3,18,16.539631348434934
dietitian,6,008,3,19,12.235112169893428
dietitian,6,008,3,20,36.34240749176689
dietitian,6,008,3,21,23.520478063547795
dietitian,6,008,3,22,12.057424650044961
dietitian,6,008,3,23,11.125609878798043
dietitian,6,008,4,0,11.707068122017981
dietitian,6,008,4,1,12.689693115241807
dietitian,6,008,4,2,9.596084542668235
dietitian,6,008,4,3,9.732026451590338
dietitian,6,008,4,4,10.912240873968903
dietitian,6,008,4,5,8.897301766149482
dietitian,6,008,4,6,4.467997008601176
dietitian,6,008,4,7,19.424468322140772
dietitian,6,008,4,8,12.903919960916552
dietitian,9,001,4,0,9.012218312298325
dietitian,9,001,4,1,7.4821692511128095
dietitian,9,001,4,2,8.97248837776599
dietitian,9,001,4,3,13.894824781506388
dietitian,9,001,4,4,13.783770777870387
dietitian,9,001,4,5,10.297996118003958
dietitian,9,001,4,6,27.278362587259895
dietitian,9,001,4,7,38.62399232546182
dietitian,9,001,4,8,24.832870413344157
dietitian,9,001,4,9,29.89350544327344
dietitian,9,001,4,10,56.81219633750439
dietitian,9,001,4,11,20.74948090399948
dietitian,9,001,4,12,26.960341246399135
dietitian,9,001,4,13,18.795231736002734
dietitian,9,001,4,14,13.018724720836916
dietitian,9,001,4,15,9.518714756800051
dietitian,9,001,4,16,15.957916983019997
dietitian,9,001,4,17,8.441915107110756
dietitian,9,001,4,18,68.1053493413655
dietitian,9,001,4,19,68.66031877407106
dietitian,9,001,4,20,21.303658290117703
dietitian,9,001,4,21,20.353125248508217
dietitian,9,001,4,22,48.813013749361936
dietitian,9,001,4,23,20.044270007149972
dietitian,9,001,5,0,5.9847212695952505
dietitian,9,001,5,1,4.333603561940981
dietitian,9,001,5,2,4.026871901805127
